"screen_name","text","stripped_text1"
"605Jim","@ronniedidntdoit @SheriffClarke We will all be paying higher premiums in the next couple years also. Hospitals are full all around the country because the anti vaccine  movement. Itâ€™s pretty easy to figure out that prices will get passed on they healthcare premiums.","  we will all be paying higher premiums in the next couple years also hospitals are full all around the country because the anti vaccine  movement itâ€™s pretty easy to figure out that prices will get passed on they healthcare premiums"
"ScaryLikeAFoxx","@mplspat @valleyofthemud @HeatherHabanero @CBSNews Meanwhile, opinions and magical thinking doesnâ€™t make this a â€œvaccineâ€ or this non strategy ethical or effective.

This is perpetuating a dangerous situation &amp; using it as an excuse to force injections of an UNapproved, experimental product. Itâ€™s backwards, and itâ€™s anti science","    meanwhile opinions and magical thinking doesnâ€™t make this a â€œvaccineâ€ or this non strategy ethical or effectivethis is perpetuating a dangerous situation  using it as an excuse to force injections of an unapproved experimental product itâ€™s backwards and itâ€™s anti science"
"rnz_news","Newmarket shop owners fearful of further anti-vaccine mandate protests: 'I had to lock the door' https://t.co/YwRojZOWWp","newmarket shop owners fearful of further antivaccine mandate protests i had to lock the door "
"Geegee890","if your anti vaccine and you actually know the virus and how vaccines work - but people just blindly following nooo... educate yaselfs everythingâ€™s there, Iâ€™ll bite my tongue if Iâ€™ve read propa ganda research <U+0001F605> but so far vaccines and medicine have saved life","if your anti vaccine and you actually know the virus and how vaccines work  but people just blindly following nooo educate yaselfs everythingâ€™s there iâ€™ll bite my tongue if iâ€™ve read propa ganda research uf but so far vaccines and medicine have saved life"
"Rattinger","Yesterday a friendâ€”who is vaccinated and boostedâ€”told me they got it because they want their child to see their family, but that otherwise they were concerned about the speed of the vaccine give how new the virus was. So clearly not an anti-vaxxer, just questioning.","yesterday a friendâ€”who is vaccinated and boostedâ€”told me they got it because they want their child to see their family but that otherwise they were concerned about the speed of the vaccine give how new the virus was so clearly not an antivaxxer just questioning"
"VerdantSquare","Paul Krugman argues the GOP is 'pro-COVID' and is trying to 'keep the pandemic going' https://t.co/VRKjOtDup4 via https://t.co/gVRWW4kYQa https://t.co/fvlgDu9fIp","paul krugman argues the gop is procovid and is trying to keep the pandemic going  via  "
"StephenGlahn","Of this there is no doubt, republicans want to keep their base sick, agitated and easy to manipulate for what they try next.

@PaulKrugman argues the @GOP is 'pro-COVID' and is trying to 'keep the pandemic going' https://t.co/YJQ9N6cQNJ","of this there is no doubt republicans want to keep their base sick agitated and easy to manipulate for what they try next argues the  is procovid and is trying to keep the pandemic going "
"kathrynresister","So anti-vaxxers would rather die than get a lifesaving vaccine. Ummm hmmm. These are not the sharpest tools in the shed. I'm not gonna argue with them anymore, so be it!","so antivaxxers would rather die than get a lifesaving vaccine ummm hmmm these are not the sharpest tools in the shed im not gonna argue with them anymore so be it"
"Browning_Lewis_","If youâ€™re anti-vaccine then fine, whatever. But please do shoving it down everyoneâ€™s throats. Cheers.","if youâ€™re antivaccine then fine whatever but please do shoving it down everyoneâ€™s throats cheers"
"realRyanHolman","@titch505 @MautzeDingDong @philthatremains You think the vaccine should not be mandated, you're an anti-vaxxer.","   you think the vaccine should not be mandated youre an antivaxxer"
"SuzMcBrideBooks","@B52Malmet @EileenQuirke4 @hugolowell The Republicans don't seem to care that their misinformation/disinformation and anti-vaccine strategy meant to smear Biden is killing off their base.","   the republicans dont seem to care that their misinformationdisinformation and antivaccine strategy meant to smear biden is killing off their base"
"georgekaiser94","@Danny_Funaro @bhc3 Me too. And for a variety of reasons we should be mandating vaccines. Being so anti-vaccine mandates which have been around for a long time does nothing but enable vaccine skeptics and anti-vaxxers.","  me too and for a variety of reasons we should be mandating vaccines being so antivaccine mandates which have been around for a long time does nothing but enable vaccine skeptics and antivaxxers"
